collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),PAPHOS,,,,,1,8,23.6,,27.1,23.5,0.0,0.2,,,1.0,,,,58.0,0.0,,,0.0,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),PAPHOS,,,,,1,8,28.4,,28.6,23.0,1.0,0.7,,,326.0,,,,47.0,0.0,,,0.514444,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),PAPHOS,,,,,1,8,31.5,,32.6,23.0,3.4,1.6,,,257.0,,,,49.0,0.0,,,1.74911,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),PAPHOS,,,,,1,8,29.8,,32.6,23.0,4.4,2.1,,,296.0,,,,64.0,0.0,,,2.263554,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),PAPHOS,,,,,1,8,26.5,,32.6,23.0,3.0,1.4,,,309.0,,,,77.0,0.0,,,1.543332,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),PAPHOS,,,,,1,8,25.4,,26.3,25.3,1.2,0.8,,,36.0,,,,52.0,0.0,,,0.617333,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),PAPHOS,,,,,1,8,24.5,,26.3,24.4,1.8,0.9,,,25.0,,,,48.0,0.0,,,0.925999,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),PAPHOS,,,,,1,8,23.9,,26.3,23.8,1.2,0.4,,,27.0,,,,48.0,0.0,,,0.617333,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),PAPHOS,,,,,1,8,30.2,,30.4,23.0,0.7,0.7,,,328.0,,,,44.0,0.0,,,0.360111,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),PAPHOS,,,,,1,8,32.6,,33.7,23.0,3.2,1.4,,,233.0,,,,44.0,0.0,,,1.646221,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),PAPHOS,,,,,1,8,31.4,,33.7,23.0,3.3,1.5,,,281.0,,,,60.0,0.0,,,1.697665,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),PAPHOS,,,,,1,8,26.5,,33.7,23.0,3.3,1.7,,,319.0,,,,82.0,0.0,,,1.697665,,
