collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),LCPH,,,,,1,9,25.2,,28.3,25.0,,1.0,,,,,,,59.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1008.6}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 34.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 6.0}}"
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),LCPH,,,,,1,9,28.4,,28.7,24.3,,2.2,,,,,,,42.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1009.4}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 10.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 6.1}}"
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),LCPH,,,,,1,9,30.6,,31.3,24.3,,4.6,,,,,,,62.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1009.8}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 266.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 12.6}}"
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),LCPH,,,,,1,9,29.9,,31.3,24.3,,5.9,,,,,,,71.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1009.3}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 275.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 14.6}}"
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),LCPH,,,,,1,9,28.1,,31.3,24.3,,2.7,,,,,,,77.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1010.1}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 291.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 8.5}}"
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),LCPH,,,,,1,9,26.0,,28.0,25.7,,0.6,,,,,,,60.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1010.0}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 30.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 4.0}}"
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),LCPH,,,,,1,9,26.5,,28.0,25.7,,0.6,,,,,,,46.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1009.6}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 33.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 4.8}}"
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),LCPH,,,,,1,9,24.4,,28.0,24.3,,0.8,,,,,,,54.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1009.6}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 23.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 5.0}}"
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),LCPH,,,,,1,9,29.7,,29.9,24.3,,1.0,,,,,,,39.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1010.3}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 38.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 3.9}}"
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),LCPH,,,,,1,9,31.2,,32.1,24.3,,1.5,,,,,,,58.0,0.0,,,,,"{""Atmospheric Pressure (QNH)"": {""unit"": ""hPa"", ""value"": 1010.5}, ""Wind Direction (10m) at Runway 29"": {""unit"": ""Degrees"", ""value"": 234.0}, ""Wind Speed (10m) at Runway 29"": {""unit"": ""Knots"", ""value"": 4.3}}"
