collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),AKAMAS,,,,,1,7,23.2,,26.1,22.3,6.5,,,,27.0,,,,79.0,0.0,,,3.343886,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),AKAMAS,,,,,1,7,28.2,,28.4,22.3,1.9,,,,47.0,,,,42.0,0.0,,,0.977444,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),AKAMAS,,,,,1,7,33.7,,34.8,22.3,1.6,,,,306.0,,,,30.0,0.0,,,0.82311,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),AKAMAS,,,,,1,7,29.4,,34.8,22.3,8.8,,,,248.0,,,,57.0,0.0,,,4.527107,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),AKAMAS,,,,,1,7,25.4,,34.8,22.3,3.4,,,,289.0,,,,66.0,0.0,,,1.74911,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),AKAMAS,,,,,1,7,24.4,,25.6,24.1,4.6,,,,38.0,,,,75.0,0.0,,,2.366442,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),AKAMAS,,,,,1,7,23.6,,25.6,23.1,5.5,,,,6.0,,,,62.0,0.0,,,2.829442,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),AKAMAS,,,,,1,7,25.1,,25.6,23.1,5.5,,,,12.0,,,,51.0,0.0,,,2.829442,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),AKAMAS,,,,,1,7,28.7,,30.0,23.1,1.1,,,,215.0,,,,39.0,0.0,,,0.565888,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),AKAMAS,,,,,1,7,30.3,,31.0,23.1,8.7,,,,227.0,,,,58.0,0.0,,,4.475663,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),AKAMAS,,,,,1,7,29.5,,31.3,23.1,9.4,,,,220.0,,,,62.0,0.0,,,4.835774,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),AKAMAS,,,,,1,7,23.9,,31.3,23.1,2.4,,,,297.0,,,,90.0,0.0,,,1.234666,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),AKAMAS,,,,,1,7,23.8,,25.5,23.7,3.9,,,,42.0,,,,89.0,0.0,,,2.006332,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),AKAMAS,,,,,1,7,25.4,,26.8,23.2,5.1,,,,22.0,,,,49.0,0.0,,,2.623664,,
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),AKAMAS,,,,,1,7,26.2,,27.1,23.2,6.0,,,,15.0,,,,41.0,0.0,,,3.086664,,
