collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),VISITOR,,,,,1,7,26.1,,28.2,24.6,4.0,,,,265.0,,,,77.0,0.0,,,2.057776,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),VISITOR,,,,,1,7,28.7,,28.9,23.1,0.8,,,,274.0,,,,42.0,0.0,,,0.411555,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),VISITOR,,,,,1,7,36.1,,36.4,23.1,1.0,,,,195.0,,,,30.0,0.0,,,0.514444,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),VISITOR,,,,,1,7,34.3,,36.6,23.1,3.6,,,,124.0,,,,40.0,0.0,,,1.851998,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),VISITOR,,,,,1,7,28.3,,36.6,23.1,4.2,,,,247.0,,,,70.0,0.0,,,2.160665,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),VISITOR,,,,,1,7,26.9,,28.3,26.8,1.5,,,,267.0,,,,74.0,0.0,,,0.771666,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),VISITOR,,,,,1,7,25.3,,28.3,25.3,1.4,,,,245.0,,,,64.0,0.0,,,0.720222,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),VISITOR,,,,,1,7,21.8,,28.3,21.7,1.0,,,,264.0,,,,76.0,0.0,,,0.514444,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),VISITOR,,,,,1,7,28.1,,28.4,20.0,1.6,,,,18.0,,,,47.0,0.0,,,0.82311,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),VISITOR,,,,,1,7,36.4,,36.8,20.0,0.0,,,,132.0,,,,27.0,0.0,,,0.0,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),VISITOR,,,,,1,7,36.3,,38.1,20.0,5.1,,,,120.0,,,,32.0,0.0,,,2.623664,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),VISITOR,,,,,1,7,28.6,,38.1,20.0,3.3,,,,256.0,,,,61.0,0.0,,,1.697665,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),VISITOR,,,,,1,7,26.9,,28.3,26.9,3.6,,,,255.0,,,,90.0,0.0,,,1.851998,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),VISITOR,,,,,1,7,26.2,,28.3,25.9,0.7,,,,327.0,,,,82.0,0.0,,,0.360111,,
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),VISITOR,,,,,1,7,23.5,,28.3,23.3,0.7,,,,206.0,,,,100.0,0.0,,,0.360111,,
2026-09-03T05:00:00+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03 08:00 (Local Time),VISITOR,,,,,1,7,27.8,,28.3,21.3,0.7,,,,5.0,,,,63.0,0.0,,,0.360111,,
2026-09-03T09:30:00+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03 12:30 (Local Time),VISITOR,,,,,1,7,37.2,,37.5,21.3,4.6,,,,131.0,,,,28.0,0.0,,,2.366442,,
2026-09-03T13:50:00+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03 16:40 (Local Time),VISITOR,,,,,1,7,36.6,,37.7,21.3,3.9,,,,145.0,,,,28.0,0.0,,,2.006332,,
2026-09-03T17:10:00+00:00,2026-09-03T17:19:20.989738+00:00,2026-09-03T17:19:20.989738+00:00,2026-09-03 20:10 (Local Time),VISITOR,,,,,1,7,28.3,,37.7,21.3,3.4,,,,262.0,,,,76.0,0.0,,,1.74911,,
