collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),KAMPOS,,,,,1,11,24.7,22.5,25.6,24.3,2.6,1.0,4.0,0.0,268.0,,,,39.0,0.0,,,1.337554,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),KAMPOS,,,,,1,11,25.9,23.7,26.1,24.1,2.8,1.3,300.0,68.0,312.0,,,,37.0,0.0,,,1.440443,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),KAMPOS,,,,,1,11,33.5,37.6,35.4,24.1,2.6,1.4,1007.0,947.0,80.0,,,,32.0,0.0,,,1.337554,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),KAMPOS,,,,,1,11,29.9,30.6,35.4,24.1,0.0,0.7,847.0,373.0,152.0,,,,37.0,0.0,,,0.0,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),KAMPOS,,,,,1,11,25.6,24.7,35.4,24.1,4.6,1.9,4.0,0.0,265.0,,,,44.0,0.0,,,2.366442,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),KAMPOS,,,,,1,11,25.3,23.3,26.1,25.2,1.7,0.5,4.0,0.0,287.0,,,,40.0,0.0,,,0.874555,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),KAMPOS,,,,,1,11,25.1,22.7,26.1,24.8,3.8,1.3,4.0,0.0,287.0,,,,41.0,0.0,,,1.954887,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),KAMPOS,,,,,1,11,24.9,22.6,26.1,24.7,2.5,0.8,4.0,0.0,282.0,,,,39.0,0.0,,,1.28611,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),KAMPOS,,,,,1,11,27.4,25.0,27.4,24.7,1.1,0.5,313.0,192.0,299.0,,,,34.0,0.0,,,0.565888,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),KAMPOS,,,,,1,11,35.5,39.6,36.6,24.7,2.9,1.7,992.0,940.0,89.0,,,,28.0,0.0,,,1.491888,,
