collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),MATHIATIS,,,,,1,10,21.8,,23.4,21.0,1.2,0.4,4.0,0.0,300.0,,,,49.0,0.0,,,0.617333,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),MATHIATIS,,,,,1,10,26.7,,26.8,21.0,1.4,0.6,564.0,238.0,291.0,,,,41.0,0.0,,,0.720222,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),MATHIATIS,,,,,1,10,33.5,,34.9,21.0,6.0,1.8,711.0,794.0,96.0,,,,30.0,0.0,,,3.086664,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),MATHIATIS,,,,,1,10,30.3,,35.7,21.0,5.6,2.1,472.0,270.0,155.0,,,,39.0,0.0,,,2.880886,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),MATHIATIS,,,,,1,10,23.5,,35.7,21.0,0.6,0.0,4.0,0.0,300.0,,,,62.0,0.0,,,0.308666,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),MATHIATIS,,,,,1,10,22.7,,23.2,22.4,2.0,0.0,4.0,0.0,292.0,,,,51.0,0.0,,,1.028888,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),MATHIATIS,,,,,1,10,22.4,,23.2,22.1,1.2,0.0,4.0,0.0,240.0,,,,49.0,0.0,,,0.617333,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),MATHIATIS,,,,,1,10,22.3,,23.2,22.1,0.0,0.0,4.0,0.0,287.0,,,,49.0,0.0,,,0.0,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),MATHIATIS,,,,,1,10,29.7,,30.0,22.0,1.7,0.9,631.0,369.0,352.0,,,,35.0,0.0,,,0.874555,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),MATHIATIS,,,,,1,10,34.5,,36.1,22.0,4.7,2.0,695.0,772.0,78.0,,,,29.0,0.0,,,2.417887,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),MATHIATIS,,,,,1,10,31.8,,36.1,22.0,6.2,2.3,687.0,453.0,158.0,,,,44.0,0.0,,,3.189553,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),MATHIATIS,,,,,1,10,24.2,,36.1,22.0,2.7,0.5,4.0,0.0,299.0,,,,75.0,0.0,,,1.388999,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),MATHIATIS,,,,,1,10,21.9,,23.8,21.8,1.7,0.3,4.0,0.0,287.0,,,,76.0,0.0,,,0.874555,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),MATHIATIS,,,,,1,10,23.4,,24.4,21.8,3.9,1.3,4.0,0.0,242.0,,,,64.0,0.0,,,2.006332,,
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),MATHIATIS,,,,,1,10,22.3,,24.4,21.8,3.7,1.3,4.0,0.0,278.0,,,,61.0,0.0,,,1.903443,,
2026-09-03T05:00:00+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03 08:00 (Local Time),MATHIATIS,,,,,1,10,27.0,,27.3,21.8,2.0,1.1,564.0,236.0,181.0,,,,53.0,0.0,,,1.028888,,
