collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),AVDIMOU,,,,,1,11,20.1,18.6,25.2,19.9,0.6,0.2,3.0,4.0,338.0,,,,81.0,0.0,,,0.308666,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),AVDIMOU,,,,,1,11,26.3,29.5,26.5,18.4,0.0,0.0,715.0,266.0,---,,,,65.0,0.0,,,0.0,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),AVDIMOU,,,,,1,11,31.6,45.6,32.2,18.4,3.8,1.8,791.0,915.0,122.0,,,,54.0,0.0,,,1.954887,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),AVDIMOU,,,,,1,11,31.9,38.6,35.1,18.4,4.7,1.9,768.0,308.0,187.0,,,,53.0,0.0,,,2.417887,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),AVDIMOU,,,,,1,11,25.6,23.7,35.1,18.4,1.4,0.6,3.0,5.0,345.0,,,,70.0,0.0,,,0.720222,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),AVDIMOU,,,,,1,11,22.4,20.9,25.4,22.3,0.9,0.3,3.0,4.0,333.0,,,,76.0,0.0,,,0.463,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),AVDIMOU,,,,,1,11,21.4,20.0,25.4,21.0,1.0,0.3,3.0,4.0,314.0,,,,77.0,0.0,,,0.514444,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),AVDIMOU,,,,,1,11,20.3,19.2,25.4,20.3,0.0,0.1,3.0,4.0,---,,,,84.0,0.0,,,0.0,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),AVDIMOU,,,,,1,11,30.1,36.5,30.2,20.2,1.3,0.9,828.0,375.0,131.0,,,,47.0,0.0,,,0.668777,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),AVDIMOU,,,,,1,11,33.4,47.0,33.6,20.2,3.7,2.1,808.0,917.0,148.0,,,,40.0,0.0,,,1.903443,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),AVDIMOU,,,,,1,11,34.5,43.6,35.0,20.2,2.8,1.2,866.0,444.0,209.0,,,,34.0,0.0,,,1.440443,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),AVDIMOU,,,,,1,11,27.3,24.6,35.0,20.2,0.0,0.1,3.0,3.0,304.0,,,,68.0,0.0,,,0.0,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),AVDIMOU,,,,,1,11,23.0,21.3,26.4,23.0,1.5,0.4,3.0,3.0,316.0,,,,77.0,0.0,,,0.771666,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),AVDIMOU,,,,,1,11,21.4,20.1,26.4,21.3,1.4,0.5,3.0,3.0,314.0,,,,82.0,0.0,,,0.720222,,
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),AVDIMOU,,,,,1,11,20.8,19.3,26.4,20.7,1.5,0.4,3.0,3.0,311.0,,,,83.0,0.0,,,0.771666,,
2026-09-03T05:00:00+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03 08:00 (Local Time),AVDIMOU,,,,,1,11,27.0,30.5,27.4,19.9,1.2,0.0,712.0,261.0,342.0,,,,67.0,0.0,,,0.617333,,
2026-09-03T09:30:00+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03 12:30 (Local Time),AVDIMOU,,,,,1,11,32.3,46.9,32.5,19.9,4.2,2.1,828.0,914.0,134.0,,,,56.0,0.0,,,2.160665,,
2026-09-03T13:50:00+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03 16:40 (Local Time),AVDIMOU,,,,,1,11,33.1,41.8,35.2,19.9,4.2,1.8,906.0,483.0,215.0,,,,47.0,0.0,,,2.160665,,
2026-09-03T17:10:00+00:00,2026-09-03T17:19:20.989738+00:00,2026-09-03T17:19:20.989738+00:00,2026-09-03 20:10 (Local Time),AVDIMOU,,,,,1,11,28.1,26.5,35.2,19.9,0.8,0.6,3.0,4.0,230.0,,,,66.0,0.0,,,0.411555,,
2026-09-03T19:50:00+00:00,2026-09-03T19:57:59.047371+00:00,2026-09-03T19:57:59.047371+00:00,2026-09-03 22:50 (Local Time),AVDIMOU,,,,,1,11,24.6,22.8,26.9,24.5,1.2,0.5,3.0,5.0,347.0,,,,77.0,0.0,,,0.617333,,
2026-09-03T22:20:00+00:00,2026-09-03T22:29:57.465558+00:00,2026-09-03T22:29:57.465558+00:00,2026-09-04 01:20 (Local Time),AVDIMOU,,,,,1,11,21.8,20.0,26.9,21.7,1.0,0.1,3.0,5.0,344.0,,,,78.0,0.0,,,0.514444,,
2026-09-04T00:10:00+00:00,2026-09-04T00:18:56.580579+00:00,2026-09-04T00:18:56.580579+00:00,2026-09-04 03:10 (Local Time),AVDIMOU,,,,,1,11,20.2,18.7,26.9,20.2,1.3,0.2,3.0,4.0,293.0,,,,84.0,0.0,,,0.668777,,
2026-09-04T04:40:00+00:00,2026-09-04T04:45:45.717527+00:00,2026-09-04T04:45:45.717527+00:00,2026-09-04 07:40 (Local Time),AVDIMOU,,,,,1,11,22.5,24.5,26.9,18.0,0.0,0.0,660.0,187.0,346.0,,,,70.0,0.0,,,0.0,,
2026-09-04T09:00:00+00:00,2026-09-04T09:05:06.541164+00:00,2026-09-04T09:05:06.541164+00:00,2026-09-04 12:00 (Local Time),AVDIMOU,,,,,1,11,31.6,43.9,32.1,18.0,6.3,2.6,817.0,875.0,159.0,,,,60.0,0.0,,,3.240997,,
2026-09-04T13:20:00+00:00,2026-09-04T13:26:14.774263+00:00,2026-09-04T13:26:14.774263+00:00,2026-09-04 16:20 (Local Time),AVDIMOU,,,,,1,11,31.6,43.1,32.9,18.0,3.2,1.8,720.0,583.0,219.0,,,,60.0,0.0,,,1.646221,,
2026-09-04T16:50:00+00:00,2026-09-04T16:55:20.414199+00:00,2026-09-04T16:55:20.414199+00:00,2026-09-04 19:50 (Local Time),AVDIMOU,,,,,1,11,27.2,26.3,32.9,18.0,2.8,0.9,3.0,5.0,232.0,,,,77.0,0.0,,,1.440443,,
2026-09-04T21:20:00+00:00,2026-09-04T21:28:37.350031+00:00,2026-09-04T21:28:37.350031+00:00,2026-09-05 00:20 (Local Time),AVDIMOU,,,,,1,11,21.6,19.8,26.0,21.5,1.4,0.3,3.0,3.0,350.0,,,,93.0,0.0,,,0.720222,,
2026-09-04T23:10:00+00:00,2026-09-04T23:13:59.362901+00:00,2026-09-04T23:13:59.362901+00:00,2026-09-05 02:00 (Local Time),AVDIMOU,,,,,1,11,20.7,19.4,26.0,20.6,1.6,0.3,3.0,3.0,322.0,,,,90.0,0.0,,,0.82311,,
2026-09-05T00:50:00+00:00,2026-09-05T00:58:36.798402+00:00,2026-09-05T00:58:36.798402+00:00,2026-09-05 03:50 (Local Time),AVDIMOU,,,,,1,11,20.4,19.0,26.0,20.1,1.5,0.5,3.0,3.0,324.0,,,,88.0,0.0,,,0.771666,,
2026-09-05T05:30:00+00:00,2026-09-05T05:34:27.041536+00:00,2026-09-05T05:34:27.041536+00:00,2026-09-05 08:20 (Local Time),AVDIMOU,,,,,1,11,27.9,32.4,28.1,19.6,2.2,0.9,660.0,309.0,66.0,,,,76.0,0.0,,,1.131777,,
2026-09-05T09:10:00+00:00,2026-09-05T09:17:45.504072+00:00,2026-09-05T09:17:45.504072+00:00,2026-09-05 12:10 (Local Time),AVDIMOU,,,,,1,11,30.2,44.6,30.7,19.6,3.4,1.7,814.0,883.0,141.0,,,,64.0,0.0,,,1.74911,,
2026-09-05T12:40:00+00:00,2026-09-05T12:46:38.234247+00:00,2026-09-05T12:46:38.234247+00:00,2026-09-05 15:40 (Local Time),AVDIMOU,,,,,1,11,32.6,42.7,33.0,19.6,5.6,2.2,390.0,446.0,216.0,,,,54.0,0.0,,,2.880886,,
2026-09-05T15:30:00+00:00,2026-09-05T15:36:48.906932+00:00,2026-09-05T15:36:48.906932+00:00,2026-09-05 18:30 (Local Time),AVDIMOU,,,,,1,11,29.4,30.8,33.0,19.6,2.2,1.2,54.0,51.0,277.0,,,,66.0,0.0,,,1.131777,,
2026-09-05T17:30:00+00:00,2026-09-05T17:34:18.514718+00:00,2026-09-05T17:34:18.514718+00:00,2026-09-05 20:20 (Local Time),AVDIMOU,,,,,1,11,26.6,25.2,33.0,19.6,2.5,0.7,3.0,4.0,242.0,,,,77.0,0.0,,,1.28611,,
2026-09-05T19:20:00+00:00,2026-09-05T19:24:14.745082+00:00,2026-09-05T19:24:14.745082+00:00,2026-09-05 22:10 (Local Time),AVDIMOU,,,,,1,11,25.5,22.7,26.1,25.0,1.9,0.6,3.0,3.0,228.0,,,,80.0,0.0,,,0.977444,,
2026-09-05T21:20:00+00:00,2026-09-05T21:24:29.534473+00:00,2026-09-05T21:24:29.534473+00:00,2026-09-06 00:10 (Local Time),AVDIMOU,,,,,1,11,24.9,23.1,26.1,24.8,2.3,0.8,3.0,3.0,251.0,,,,79.0,0.0,,,1.183221,,
2026-09-05T23:00:00+00:00,2026-09-05T23:03:04.494056+00:00,2026-09-05T23:03:04.494056+00:00,2026-09-06 01:50 (Local Time),AVDIMOU,,,,,1,11,22.0,20.0,26.1,21.7,1.6,0.3,3.0,5.0,352.0,,,,74.0,0.0,,,0.82311,,
2026-09-06T00:40:00+00:00,2026-09-06T00:49:26.903513+00:00,2026-09-06T00:49:26.903513+00:00,2026-09-06 03:40 (Local Time),AVDIMOU,,,,,1,11,20.7,19.1,26.1,20.7,2.3,0.6,3.0,4.0,352.0,,,,77.0,0.0,,,1.183221,,
2026-09-06T05:10:00+00:00,2026-09-06T05:11:15.997922+00:00,2026-09-06T05:11:15.997922+00:00,2026-09-06 08:00 (Local Time),AVDIMOU,,,,,1,11,25.8,29.1,26.3,18.9,0.0,0.1,659.0,243.0,220.0,,,,69.0,0.0,,,0.0,,
2026-09-06T09:20:00+00:00,2026-09-06T09:26:21.396765+00:00,2026-09-06T09:26:21.396765+00:00,2026-09-06 12:20 (Local Time),AVDIMOU,,,,,1,11,32.8,45.3,33.7,18.9,3.7,1.9,833.0,893.0,212.0,,,,53.0,0.0,,,1.903443,,
2026-09-06T13:00:00+00:00,2026-09-06T13:01:00.422439+00:00,2026-09-06T13:01:00.422439+00:00,2026-09-06 15:50 (Local Time),AVDIMOU,,,,,1,11,35.8,46.6,36.6,18.9,3.0,1.3,941.0,623.0,247.0,,,,35.0,0.0,,,1.543332,,
2026-09-06T16:00:00+00:00,2026-09-06T16:09:55.676959+00:00,2026-09-06T16:09:55.676959+00:00,2026-09-06 19:00 (Local Time),AVDIMOU,,,,,1,11,33.1,30.5,36.6,18.9,4.2,1.6,4.0,18.0,299.0,,,,28.0,0.0,,,2.160665,,
2026-09-06T18:10:00+00:00,2026-09-06T18:17:21.822442+00:00,2026-09-06T18:17:21.822442+00:00,2026-09-06 21:10 (Local Time),AVDIMOU,,,,,1,11,29.1,25.6,29.3,29.1,4.6,1.1,3.0,5.0,321.0,,,,28.0,0.0,,,2.366442,,
2026-09-06T20:20:00+00:00,2026-09-06T20:28:30.159611+00:00,2026-09-06T20:28:30.159611+00:00,2026-09-06 23:20 (Local Time),AVDIMOU,,,,,1,11,29.3,24.4,29.8,26.0,4.0,1.1,3.0,5.0,310.0,,,,22.0,0.0,,,2.057776,,
2026-09-06T22:10:00+00:00,2026-09-06T22:16:29.921586+00:00,2026-09-06T22:16:29.921586+00:00,2026-09-07 01:10 (Local Time),AVDIMOU,,,,,1,11,24.8,20.2,29.8,24.3,0.9,0.7,3.0,5.0,274.0,,,,33.0,0.0,,,0.463,,
2026-09-06T23:50:00+00:00,2026-09-06T23:57:54.662656+00:00,2026-09-06T23:57:54.662656+00:00,2026-09-07 02:50 (Local Time),AVDIMOU,,,,,1,11,21.7,18.5,29.8,20.6,1.2,0.7,3.0,7.0,330.0,,,,45.0,0.0,,,0.617333,,
2026-09-07T04:20:00+00:00,2026-09-07T04:22:20.401364+00:00,2026-09-07T04:22:20.401364+00:00,2026-09-07 07:10 (Local Time),AVDIMOU,,,,,1,11,21.2,17.7,29.8,18.3,1.4,0.4,282.0,75.0,337.0,,,,51.0,0.0,,,0.720222,,
2026-09-07T09:20:00+00:00,2026-09-07T09:29:49.618570+00:00,2026-09-07T09:29:49.618570+00:00,2026-09-07 12:20 (Local Time),AVDIMOU,,,,,1,11,32.8,46.2,35.9,18.3,4.7,2.0,852.0,901.0,124.0,,,,50.0,0.0,,,2.417887,,
2026-09-07T15:10:00+00:00,2026-09-07T15:11:23.548927+00:00,2026-09-07T15:11:23.548927+00:00,2026-09-07 18:00 (Local Time),AVDIMOU,,,,,1,11,31.7,37.2,35.9,18.3,2.3,1.0,682.0,146.0,148.0,,,,53.0,0.0,,,1.183221,,
2026-09-07T19:00:00+00:00,2026-09-07T19:09:33.641112+00:00,2026-09-07T19:09:33.641112+00:00,2026-09-07 22:00 (Local Time),AVDIMOU,,,,,1,11,21.3,19.2,23.6,21.1,1.3,0.3,3.0,4.0,323.0,,,,74.0,0.0,,,0.668777,,
2026-09-07T22:00:00+00:00,2026-09-07T22:01:25.148794+00:00,2026-09-07T22:01:25.148794+00:00,2026-09-08 00:50 (Local Time),AVDIMOU,,,,,1,11,19.0,16.7,23.6,18.9,1.8,0.1,3.0,4.0,342.0,,,,68.0,0.0,,,0.925999,,
2026-09-08T00:10:00+00:00,2026-09-08T00:11:07.057495+00:00,2026-09-08T00:11:07.057495+00:00,2026-09-08 03:00 (Local Time),AVDIMOU,,,,,1,11,18.2,16.0,23.6,17.5,1.8,0.5,3.0,5.0,341.0,,,,68.0,0.0,,,0.925999,,
2026-09-08T04:30:00+00:00,2026-09-08T04:34:16.468143+00:00,2026-09-08T04:34:16.468143+00:00,2026-09-08 07:20 (Local Time),AVDIMOU,,,,,1,11,19.3,17.4,23.6,17.3,1.7,0.2,579.0,114.0,333.0,,,,69.0,0.0,,,0.874555,,
2026-09-08T09:00:00+00:00,2026-09-08T09:02:13.651985+00:00,2026-09-08T09:02:13.651985+00:00,2026-09-08 11:50 (Local Time),AVDIMOU,,,,,1,11,33.6,46.5,34.1,17.3,4.5,1.9,867.0,876.0,137.0,,,,39.0,0.0,,,2.314998,,
2026-09-08T13:30:00+00:00,2026-09-08T13:30:11.960946+00:00,2026-09-08T13:30:11.960946+00:00,2026-09-08 16:20 (Local Time),AVDIMOU,,,,,1,11,32.2,42.3,34.6,17.3,4.4,1.8,927.0,528.0,210.0,,,,44.0,0.0,,,2.263554,,
2026-09-08T17:20:00+00:00,2026-09-08T17:24:47.132510+00:00,2026-09-08T17:24:47.132510+00:00,2026-09-08 20:10 (Local Time),AVDIMOU,,,,,1,11,26.1,22.8,34.6,17.3,0.0,0.1,3.0,5.0,245.0,,,,68.0,0.0,,,0.0,,
2026-09-08T19:50:00+00:00,2026-09-08T19:59:34.582489+00:00,2026-09-08T19:59:34.582489+00:00,2026-09-08 22:50 (Local Time),AVDIMOU,,,,,1,11,20.1,17.2,23.3,20.0,0.0,0.2,3.0,4.0,324.0,,,,75.0,0.0,,,0.0,,
2026-09-08T22:30:00+00:00,2026-09-08T22:33:27.663284+00:00,2026-09-08T22:33:27.663284+00:00,2026-09-09 01:20 (Local Time),AVDIMOU,,,,,1,11,17.7,15.1,23.3,17.4,1.8,0.8,3.0,4.0,307.0,,,,64.0,0.0,,,0.925999,,
2026-09-09T00:30:00+00:00,2026-09-09T00:30:13.860930+00:00,2026-09-09T00:30:13.860930+00:00,2026-09-09 03:20 (Local Time),AVDIMOU,,,,,1,11,15.8,13.6,23.3,15.5,1.2,0.3,3.0,4.0,342.0,,,,70.0,0.0,,,0.617333,,
2026-09-09T05:00:00+00:00,2026-09-09T05:06:09.101463+00:00,2026-09-09T05:06:09.101463+00:00,2026-09-09 08:00 (Local Time),AVDIMOU,,,,,1,11,23.1,25.1,23.4,13.3,0.0,0.0,817.0,261.0,1.0,,,,51.0,0.0,,,0.0,,
2026-09-09T09:30:00+00:00,2026-09-09T09:38:10.241975+00:00,2026-09-09T09:38:10.241975+00:00,2026-09-09 12:30 (Local Time),AVDIMOU,,,,,1,11,33.1,45.1,34.0,13.3,6.2,2.8,867.0,911.0,170.0,,,,31.0,0.0,,,3.189553,,
2026-09-09T13:50:00+00:00,2026-09-09T13:55:47.448429+00:00,2026-09-09T13:55:47.448429+00:00,2026-09-09 16:50 (Local Time),AVDIMOU,,,,,1,11,30.8,38.6,34.0,13.3,5.8,2.2,915.0,436.0,208.0,,,,53.0,0.0,,,2.983775,,
2026-09-09T17:20:00+00:00,2026-09-09T17:26:46.269482+00:00,2026-09-09T17:26:46.269482+00:00,2026-09-09 20:20 (Local Time),AVDIMOU,,,,,1,11,25.1,21.6,34.0,13.3,1.2,0.2,3.0,5.0,301.0,,,,74.0,0.0,,,0.617333,,
2026-09-09T19:50:00+00:00,2026-09-09T19:55:49.026263+00:00,2026-09-09T19:55:49.026263+00:00,2026-09-09 22:50 (Local Time),AVDIMOU,,,,,1,11,20.1,18.1,23.8,20.0,1.4,0.0,3.0,4.0,343.0,,,,83.0,0.0,,,0.720222,,
2026-09-09T22:00:00+00:00,2026-09-09T22:06:37.705228+00:00,2026-09-09T22:06:37.705228+00:00,2026-09-10 01:00 (Local Time),AVDIMOU,,,,,1,11,17.8,15.5,23.8,17.8,0.7,0.0,3.0,4.0,313.0,,,,89.0,0.0,,,0.360111,,
2026-09-10T00:00:00+00:00,2026-09-10T00:08:27.320149+00:00,2026-09-10T00:08:27.320149+00:00,2026-09-10 03:00 (Local Time),AVDIMOU,,,,,1,11,16.8,15.3,23.8,16.4,1.7,0.4,3.0,4.0,304.0,,,,87.0,0.0,,,0.874555,,
